Source,Target,Type,Id,Label,Weight
Bolo de Cenoura com Cobertura de Brigadeiro,farinha de trigo,Undirected,44,,1
Tofu com Broa,tofu,Undirected,45,,1
Tofu com Broa,sumo de limão,Undirected,46,,1
Sopa de Mandioquinha com Carne Seca,mandioquinha,Undirected,47,,1
Salada Colorida,pepino japonês,Undirected,48,,1
Peixe ao Forno com Legumes,alcaparras,Undirected,49,,1
Escondidinho com Carne Seca,sal,Undirected,50,,1
Salada de Grão de Bico e Atum,atum em água,Undirected,51,,1
Empadão de Frango,alho,Undirected,52,,1
Sanduíche de Rabada,rabo bovino,Undirected,53,,1
Maminha na Cerveja Preta,alho picado,Undirected,54,,1
Carne Moída Simples,cebola,Undirected,55,,1
Arroz de Couve-Flor,sal,Undirected,56,,1
Carne de Panela,cenoura picada,Undirected,57,,1
Torta de Frango Gratinada,queijo parmesão,Undirected,58,,1
Peixe à Delícia,banana prata,Undirected,59,,1
Sanduíche de Rabada,agrião,Undirected,60,,1
Torta de Frango de Liquidificador,alecrim,Undirected,61,,1
Enroladinho de Salsicha Fácil,massa para pastel,Undirected,62,,1
Picadinho de Carne Simples,sal,Undirected,63,,1
Empadão de Frango,ovo,Undirected,64,,1
Cuscuz Marroquino com Legumes,salsão,Undirected,65,,1
Fricassê de Frango Fácil,requeijão cremoso,Undirected,66,,1
Salada Caesar,maionese caseira,Undirected,67,,1
Salada de Grão de Bico e Atum,tomate cereja,Undirected,68,,1
Frango Assado com Batatas (simples),alho,Undirected,69,,1
Bolo de Fubá com Compota de Goiaba,sementes de erva-doce,Undirected,70,,1
Sopa de Cebola,batatas pré-cozidas,Undirected,71,,1
Salada Caesar,pão amanhecido,Undirected,72,,1
Cuscuz Marroquino com Legumes,canela em pó,Undirected,73,,1
Torta de Liquidificador de Legumes,seleta de legumes congelada,Undirected,74,,1
Frango Xadrez,amendoim sem casca,Undirected,75,,1
Moqueca de Peixe com Pirão,coentro,Undirected,76,,1
Quibe de Abóbora,cebola,Undirected,77,,1
Caldo Verde,água quente,Undirected,78,,1
Empadão de Frango,farinha de trigo,Undirected,79,,1
Isca de Peixe,fubá,Undirected,80,,1
Pudim de Leite Condensado Nestlé,creme de leite,Undirected,81,,1
Quibe de Abóbora,trigo para kibe,Undirected,82,,1
Pão de Alho Caseiro,pão francês,Undirected,83,,1
Bolo de Cenoura com Cobertura de Brigadeiro,chocolate granulado,Undirected,84,,1
Frango à Passarinho de Forno,salsinha,Undirected,85,,1
Empadão de Frango,requeijão,Undirected,86,,1
Frango Xadrez,filé de frango em cubos,Undirected,87,,1
Maminha na Cerveja Preta,creme de cebola,Undirected,88,,1
Moqueca de Peixe,cebola em rodelas,Undirected,89,,1
Moqueca de Peixe,caldo de camarão,Undirected,90,,1
Ratatouille no Forno,curgete,Undirected,91,,1
Sopa de Feijão com Macarrão,cenoura em cubinhos,Undirected,92,,1
Moqueca de Banana-da-Terra,raiz de coentro,Undirected,93,,1
Bife à Parmegiana,farinha de rosca,Undirected,94,,1
Peixe ao Forno com Legumes,filé de peixe panga,Undirected,95,,1
Bobó de Camarão,caldo de limão,Undirected,96,,1
Tofu com Broa,sal marinho,Undirected,97,,1
Bife à Parmegiana,catchup,Undirected,98,,1
Croquete de Carne,sal,Undirected,99,,1
Quibe de Abóbora,alho,Undirected,100,,1
Costela na Panela de Pressão,sal,Undirected,101,,1
Fricassê de Frango Fácil,azeitonas,Undirected,102,,1
Ratatouille no Forno,pimenta preta,Undirected,103,,1
Bobó de Frango,peito de frango,Undirected,104,,1
Tofu com Broa,pimenta,Undirected,105,,1
Gratinado de Frango,queijo ralado,Undirected,106,,1
Frango Assado com Batatas (simples),maionese,Undirected,107,,1
Mousse de Chocolate Vegano,cacau em pó,Undirected,108,,1
Esfiha Aberta Tipo Habib's,hortelã,Undirected,109,,1
Pão de Alho Caseiro,alho amassado,Undirected,110,,1
Salmão ao Molho de Alcaparras,filé de anchovas,Undirected,111,,1
Tofu com Broa,folha de louro,Undirected,112,,1
Canja de Galinha Nutritiva,caldo de galinha,Undirected,113,,1
Empadão de Frango,cebola picada,Undirected,114,,1
Escondidinho com Carne Seca,carne seca,Undirected,115,,1
Tofu com Broa,broa de milho,Undirected,116,,1
Ratatouille no Forno,orégãos,Undirected,117,,1
Tofu com Broa,alho,Undirected,118,,1
Ratatouille no Forno,cebola branca,Undirected,119,,1
Salada de Grão de Bico e Atum,salsa,Undirected,120,,1
Salada Caesar,filé de anchova,Undirected,121,,1
Sopa de Abóbora com Gengibre,gengibre em pó,Undirected,122,,1
Salada de Maionese Simples,ervilha,Undirected,123,,1
Frango Xadrez,glutamato monossódico,Undirected,124,,1
Farofa de Banana-da-Terra,farinha de milho amarela,Undirected,125,,1
Lombo Assado,lombo de porco,Undirected,126,,1
