Source,Target,Type,Id,Label,Weight
Quindim Fácil,corante alimentício amarelo,Undirected,802,,1
Manjar de Coco com Calda de Ameixa,maisena,Undirected,803,,1
Manjar de Coco com Calda de Ameixa,ameixas pretas,Undirected,804,,1
Bolo de Fubá com Compota de Goiaba,goiaba vermelha,Undirected,805,,1
Bolo de Fubá com Compota de Goiaba,açúcar cristal,Undirected,806,,1
Bolo de Fubá com Compota de Goiaba,canela,Undirected,807,,1
Bolo de Fubá com Compota de Goiaba,fubá mimoso,Undirected,808,,1
Bolo de Fubá com Compota de Goiaba,sementes de erva-doce,Undirected,809,,1
Torta de Limão Clássica com Merengue,raspas de casca de limão,Undirected,810,,1
Torta de Limão Clássica com Merengue,claras,Undirected,811,,1
Bolo de Chocolate Molhado,tablete de chocolate,Undirected,812,,1
Bolo de Chocolate Molhado,açúcar em pó,Undirected,813,,1
Farofa de Banana-da-Terra,farinha de milho amarela,Undirected,814,,1
